indice_tiempo,edad,turistas
2012-01-01,14 a 29 años,3143845
2012-01-01,30 a 44 años,3234308
2012-01-01,45 a 59 años,2126707
2012-01-01,60 años o más,1268445
2012-01-01,Menos de 14 años,2700561
2012-04-01,14 a 29 años,1296808
2012-04-01,30 a 44 años,1377356
2012-04-01,45 a 59 años,1021227
2012-04-01,60 años o más,771842
2012-04-01,Menos de 14 años,957231
2012-07-01,14 a 29 años,1171650
2012-07-01,30 a 44 años,1451129
2012-07-01,45 a 59 años,969841
2012-07-01,60 años o más,670333
2012-07-01,Menos de 14 años,1221911
2012-10-01,14 a 29 años,1295468
2012-10-01,30 a 44 años,1569272
2012-10-01,45 a 59 años,1113744
2012-10-01,60 años o más,795932
2012-10-01,Menos de 14 años,1172970
2013-01-01,14 a 29 años,2663484
2013-01-01,30 a 44 años,2871365
2013-01-01,45 a 59 años,1911014
2013-01-01,60 años o más,1219637
2013-01-01,Menos de 14 años,2604040
2013-04-01,14 a 29 años,1281520
2013-04-01,30 a 44 años,1410716
2013-04-01,45 a 59 años,1058601
2013-04-01,60 años o más,979070
2013-04-01,Menos de 14 años,942360
2013-07-01,14 a 29 años,1512696
2013-07-01,30 a 44 años,1503018
2013-07-01,45 a 59 años,1288599
2013-07-01,60 años o más,947548
2013-07-01,Menos de 14 años,1341895
2013-10-01,14 a 29 años,1532477
2013-10-01,30 a 44 años,1469291
2013-10-01,45 a 59 años,1365256
2013-10-01,60 años o más,957856
2013-10-01,Menos de 14 años,1382380
2014-01-01,14 a 29 años,2625431
2014-01-01,30 a 44 años,2860387
2014-01-01,45 a 59 años,2030539
2014-01-01,60 años o más,1430042
2014-01-01,Menos de 14 años,2706215
2014-04-01,14 a 29 años,1334491
2014-04-01,30 a 44 años,1239219
2014-04-01,45 a 59 años,1035445
2014-04-01,60 años o más,852652
2014-04-01,Menos de 14 años,1006238
2014-07-01,14 a 29 años,1551463
2014-07-01,30 a 44 años,1297395
2014-07-01,45 a 59 años,1267855
2014-07-01,60 años o más,1067865
2014-07-01,Menos de 14 años,1070042
2014-10-01,14 a 29 años,1149638
2014-10-01,30 a 44 años,1307230
2014-10-01,45 a 59 años,976634
2014-10-01,60 años o más,1040384
2014-10-01,Menos de 14 años,1074400
2015-01-01,14 a 29 años,2865116
2015-01-01,30 a 44 años,2692215
2015-01-01,45 a 59 años,1968555
2015-01-01,60 años o más,1348440
2015-01-01,Menos de 14 años,2798150
2015-04-01,14 a 29 años,1000356
2015-04-01,30 a 44 años,1110895
2015-04-01,45 a 59 años,947239
2015-04-01,60 años o más,828641
2015-04-01,Menos de 14 años,843542
2015-07-01,14 a 29 años,1237824
2015-07-01,30 a 44 años,1355572
2015-07-01,45 a 59 años,1012536
2015-07-01,60 años o más,834634
2015-07-01,Menos de 14 años,1165602
2015-10-01,14 a 29 años,1225808
2015-10-01,30 a 44 años,1208286
2015-10-01,45 a 59 años,763172
2015-10-01,60 años o más,844001
2015-10-01,Menos de 14 años,1122210
2016-01-01,14 a 29 años,2071611
2016-01-01,30 a 44 años,2276462
2016-01-01,45 a 59 años,1760037
2016-01-01,60 años o más,1194142
2016-01-01,Menos de 14 años,2498435
2016-04-01,14 a 29 años,546180
2016-04-01,30 a 44 años,719001
2016-04-01,45 a 59 años,659410
2016-04-01,60 años o más,747469
2016-04-01,Menos de 14 años,519695
2016-07-01,14 a 29 años,1407820
2016-07-01,30 a 44 años,1460912
2016-07-01,45 a 59 años,1129274
2016-07-01,60 años o más,1021232
2016-07-01,Menos de 14 años,1464465
2016-10-01,14 a 29 años,1314075
2016-10-01,30 a 44 años,1397001
2016-10-01,45 a 59 años,1179281
2016-10-01,60 años o más,930063
2016-10-01,Menos de 14 años,1268340
2017-01-01,14 a 29 años,2270557
2017-01-01,30 a 44 años,2416375
2017-01-01,45 a 59 años,2038691
2017-01-01,60 años o más,1505697
2017-01-01,Menos de 14 años,2125730
2017-04-01,14 a 29 años,981893
2017-04-01,30 a 44 años,996678
2017-04-01,45 a 59 años,937203
2017-04-01,60 años o más,1017878
2017-04-01,Menos de 14 años,692542
2017-07-01,14 a 29 años,1925696
2017-07-01,30 a 44 años,1911293
2017-07-01,45 a 59 años,1682193
2017-07-01,60 años o más,1433639
2017-07-01,Menos de 14 años,1451013
2017-10-01,14 a 29 años,1416450
2017-10-01,30 a 44 años,1549923
2017-10-01,45 a 59 años,1188247
2017-10-01,60 años o más,1411697
2017-10-01,Menos de 14 años,1421490
2018-01-01,14 a 29 años,2455987
2018-01-01,30 a 44 años,2675554
2018-01-01,45 a 59 años,2001527
2018-01-01,60 años o más,1839034
2018-01-01,Menos de 14 años,2449263
2018-04-01,14 a 29 años,844543
2018-04-01,30 a 44 años,871233
2018-04-01,45 a 59 años,827516
2018-04-01,60 años o más,1047000
2018-04-01,Menos de 14 años,612701
2018-07-01,14 a 29 años,1105904
2018-07-01,30 a 44 años,1219361
2018-07-01,45 a 59 años,1104640
2018-07-01,60 años o más,1035067
2018-07-01,Menos de 14 años,1028254
2018-10-01,14 a 29 años,1293263
2018-10-01,30 a 44 años,1340986
2018-10-01,45 a 59 años,1195302
2018-10-01,60 años o más,1140003
2018-10-01,Menos de 14 años,1435272
2019-01-01,14 a 29 años,2032234
2019-01-01,30 a 44 años,2254407
2019-01-01,45 a 59 años,1975189
2019-01-01,60 años o más,1505296
2019-01-01,Menos de 14 años,2193605
2019-04-01,14 a 29 años,675750
2019-04-01,30 a 44 años,830270
2019-04-01,45 a 59 años,912140
2019-04-01,60 años o más,1158101
2019-04-01,Menos de 14 años,700049
2019-07-01,14 a 29 años,1173386
2019-07-01,30 a 44 años,1184287
2019-07-01,45 a 59 años,1232753
2019-07-01,60 años o más,1224213
2019-07-01,Menos de 14 años,1284625
2019-10-01,14 a 29 años,1148250
2019-10-01,30 a 44 años,1339919
2019-10-01,45 a 59 años,1418227
2019-10-01,60 años o más,1150207
2019-10-01,Menos de 14 años,1328738
2019-10-01,Ns./ Nr.,35070
2020-01-01,14 a 29 años,1766852
2020-01-01,30 a 44 años,1860206
2020-01-01,45 a 59 años,1784891
2020-01-01,60 años o más,1379524
2020-01-01,Menos de 14 años,1999598
2020-04-01,14 a 29 años,41762
2020-04-01,30 a 44 años,38938
2020-04-01,45 a 59 años,39478
2020-04-01,60 años o más,45492
2020-04-01,Menos de 14 años,9193
2020-07-01,14 a 29 años,68789
2020-07-01,30 a 44 años,218359
2020-07-01,45 a 59 años,110488
2020-07-01,60 años o más,149897
2020-07-01,Menos de 14 años,112830
2020-10-01,14 a 29 años,438972
2020-10-01,30 a 44 años,563615
2020-10-01,45 a 59 años,703652
2020-10-01,60 años o más,412616
2020-10-01,Menos de 14 años,553587
2021-01-01,14 a 29 años,1296109
2021-01-01,30 a 44 años,1360229
2021-01-01,45 a 59 años,1345014
2021-01-01,60 años o más,656544
2021-01-01,Menos de 14 años,1572705
2021-04-01,14 a 29 años,407082
2021-04-01,30 a 44 años,548598
2021-04-01,45 a 59 años,434167
2021-04-01,60 años o más,339054
2021-04-01,Menos de 14 años,520092
2021-07-01,14 a 29 años,750005
2021-07-01,30 a 44 años,790512
2021-07-01,45 a 59 años,989485
2021-07-01,60 años o más,580914
2021-07-01,Menos de 14 años,975703
2021-10-01,14 a 29 años,1019126
2021-10-01,30 a 44 años,958454
2021-10-01,45 a 59 años,1173585
2021-10-01,60 años o más,995997
2021-10-01,Menos de 14 años,1204095
2022-01-01,14 a 29 años,2550445
2022-01-01,30 a 44 años,2253556
2022-01-01,45 a 59 años,3232616
2022-01-01,60 años o más,1454969
2022-01-01,Menos de 14 años,2896810
2022-04-01,14 a 29 años,1114190
2022-04-01,30 a 44 años,757726
2022-04-01,45 a 59 años,1305130
2022-04-01,60 años o más,1235648
2022-04-01,Menos de 14 años,970219
2022-07-01,14 a 29 años,1189462
2022-07-01,30 a 44 años,1005418
2022-07-01,45 a 59 años,1687214
2022-07-01,60 años o más,877144
2022-07-01,Menos de 14 años,1367062
2022-10-01,14 a 29 años,1200540
2022-10-01,30 a 44 años,1455991
2022-10-01,45 a 59 años,1785271
2022-10-01,60 años o más,1260006
2022-10-01,Menos de 14 años,1447850
2023-01-01,14 a 29 años,2310225
2023-01-01,30 a 44 años,1774217
2023-01-01,45 a 59 años,3273408
2023-01-01,60 años o más,1394068
2023-01-01,Menos de 14 años,2367908
2023-04-01,14 a 29 años,860381
2023-04-01,30 a 44 años,832696
2023-04-01,45 a 59 años,1456155
2023-04-01,60 años o más,1002552
2023-04-01,Menos de 14 años,720657
2023-07-01,14 a 29 años,1608573.82
2023-07-01,30 a 44 años,747087.8
2023-07-01,45 a 59 años,988685.93
2023-07-01,60 años o más,1031262.53
2023-07-01,Menos de 14 años,753834.39
2023-10-01,14 a 29 años,1879699
2023-10-01,30 a 44 años,908461
2023-10-01,45 a 59 años,1046052
2023-10-01,60 años o más,1023971
2023-10-01,Menos de 14 años,895493
2024-01-01,14 a 29 años,3059601
2024-01-01,30 a 44 años,1604800
2024-01-01,45 a 59 años,2060118
2024-01-01,60 años o más,1729607
2024-01-01,Menos de 14 años,1589796
2024-04-01,14 a 29 años,965519
2024-04-01,30 a 44 años,613256
2024-04-01,45 a 59 años,877606
2024-04-01,60 años o más,777339
2024-04-01,Menos de 14 años,830913
