indice_tiempo,region_destino,gasto_promedio_anual
2012,CABA,1332.79007
2012,Cuyo,920.67376
2012,Córdoba,1036.02714
2012,Litoral,756.32517
2012,Norte,810.25723
2012,PBA - Partidos del GBA,757.53683
2012,PBA - Resto,867.00982
2012,Patagonia,1398.27144
2013,CABA,1468.11229
2013,Cuyo,1195.25862
2013,Córdoba,1127.34039
2013,Litoral,942.39684
2013,Norte,1001.71969
2013,PBA - Partidos del GBA,664.03206
2013,PBA - Resto,1010.96027
2013,Patagonia,2083.33541
2014,CABA,2383.95422
2014,Cuyo,1423.20424
2014,Córdoba,1581.3921
2014,Litoral,1228.85923
2014,Norte,1398.50185
2014,PBA - Partidos del GBA,1038.73047
2014,PBA - Resto,1431.03202
2014,Patagonia,2974.53662
2015,CABA,2784.44167
2015,Cuyo,2308.40169
2015,Córdoba,2085.65949
2015,Litoral,1893.78202
2015,Norte,2121.61314
2015,PBA - Partidos del GBA,1275.93436
2015,PBA - Resto,1853.07771
2015,Patagonia,4299.12403
2016,CABA,3383.75472
2016,Cuyo,2208.99627
2016,Córdoba,2588.3741
2016,Litoral,2220.14115
2016,Norte,2407.90524
2016,PBA - Partidos del GBA,1680.51854
2016,PBA - Resto,2530.11768
2016,Patagonia,4948.07513
2017,CABA,3736.24689
2017,Cuyo,3338.88255
2017,Córdoba,3392.98642
2017,Litoral,2520.34341
2017,Norte,2513.62485
2017,PBA - Partidos del GBA,2459.8126
2017,PBA - Resto,2495.9763
2017,Patagonia,5639.70792
2018,CABA,5665.34071
2018,Cuyo,4591.70597
2018,Córdoba,3440.713
2018,Litoral,2829.96533
2018,Norte,3577.98859
2018,PBA - Partidos del GBA,1059.4645
2018,PBA - Resto,3098.18412
2018,Patagonia,6336.15369
2019,CABA,7840.94175
2019,Cuyo,5183.05119
2019,Córdoba,5236.1451
2019,Litoral,4022.1812
2019,Norte,5754.156
2019,PBA - Partidos del GBA,1972.6327
2019,PBA - Resto,4626.13391
2019,Patagonia,10759.0281
2020,CABA,7427.88943
2020,Cuyo,7386.68187
2020,Córdoba,6846.13483
2020,Litoral,3753.5199
2020,Norte,5111.076
2020,PBA - Partidos del GBA,2949.84614
2020,PBA - Resto,8357.23942
2020,Patagonia,12079.65256
2021,CABA,15274.7038
2021,Cuyo,10795.81368
2021,Córdoba,9754.12671
2021,Litoral,7638.75592
2021,Norte,8253.43904
2021,PBA - Partidos del GBA,6588.84505
2021,PBA - Resto,10719.5924
2021,Patagonia,23062.65641
2022,CABA,31644.02135
2022,Cuyo,22968.19846
2022,Córdoba,25310.40736
2022,Litoral,19718.38064
2022,Norte,20074.86804
2022,PBA - Partidos del GBA,9946.00466
2022,PBA - Resto,17385.82615
2022,Patagonia,44445.5742
2023,CABA,89594.06185
2023,Cuyo,68465.01574
2023,Córdoba,41439.10603
2023,Litoral,37519.31832
2023,Norte,42111.34988
2023,PBA - Partidos del GBA,33498.76089
2023,PBA - Resto,39855.24911
2023,Patagonia,79318.10703
