indice_tiempo,sexo,turistas
2012-01-01,Mujer,6398490
2012-01-01,Varón,6075376
2012-04-01,Mujer,2792112
2012-04-01,Varón,2632352
2012-07-01,Mujer,2672376
2012-07-01,Varón,2812488
2012-10-01,Mujer,3165318
2012-10-01,Varón,2782068
2013-01-01,Mujer,5565913
2013-01-01,Varón,5703627
2013-04-01,Mujer,2846659
2013-04-01,Varón,2825608
2013-07-01,Mujer,3358131
2013-07-01,Varón,3235625
2013-10-01,Mujer,3437593
2013-10-01,Varón,3269667
2014-01-01,Mujer,5976850
2014-01-01,Varón,5675764
2014-04-01,Mujer,2741352
2014-04-01,Varón,2726693
2014-07-01,Mujer,3147135
2014-07-01,Varón,3107485
2014-10-01,Mujer,2788903
2014-10-01,Varón,2759383
2015-01-01,Mujer,6050249
2015-01-01,Varón,5622227
2015-04-01,Mujer,2395871
2015-04-01,Varón,2334802
2015-07-01,Mujer,2911889
2015-07-01,Varón,2694279
2015-10-01,Mujer,2672272
2015-10-01,Varón,2491205
2016-01-01,Mujer,5090134
2016-01-01,Varón,4710553
2016-04-01,Mujer,1675172
2016-04-01,Varón,1516583
2016-07-01,Mujer,3361391
2016-07-01,Varón,3122312
2016-10-01,Mujer,3134734
2016-10-01,Varón,2954026
2017-01-01,Mujer,5413133
2017-01-01,Varón,4943917
2017-04-01,Mujer,2393231
2017-04-01,Varón,2232963
2017-07-01,Mujer,4354750
2017-07-01,Varón,4049084
2017-10-01,Mujer,3683326
2017-10-01,Varón,3304481
2018-01-01,Mujer,5952297
2018-01-01,Varón,5469068
2018-04-01,Mujer,2239799
2018-04-01,Varón,1963194
2018-07-01,Mujer,2884603
2018-07-01,Varón,2608623
2018-10-01,Mujer,3293142
2018-10-01,Varón,3111684
2019-01-01,Mujer,5261567
2019-01-01,Varón,4699164
2019-04-01,Mujer,2232202
2019-04-01,Varón,2044108
2019-07-01,Mujer,3190677
2019-07-01,Varón,2908587
2019-10-01,Mujer,3292746
2019-10-01,Varón,3127665
2020-01-01,Mujer,4651230
2020-01-01,Varón,4139841
2020-04-01,Mujer,107458
2020-04-01,Varón,67405
2020-07-01,Mujer,305087
2020-07-01,Varón,355276
2020-10-01,Mujer,1333400
2020-10-01,Varón,1339042
2021-01-01,Mujer,3334007
2021-01-01,Varón,2896594
2021-04-01,Mujer,1096410
2021-04-01,Varón,1152583
2021-07-01,Mujer,2018545
2021-07-01,Varón,2068074
2021-10-01,Mujer,2657303
2021-10-01,Varón,2693954
2022-01-01,Mujer,6355598
2022-01-01,Varón,6032798
2022-04-01,Mujer,2659012
2022-04-01,Varón,2723901
2022-07-01,Mujer,2920048
2022-07-01,Varón,3206252
2022-10-01,Mujer,3620624
2022-10-01,Varón,3529034
2023-01-01,Mujer,5364514
2023-01-01,Varón,5755312
2023-04-01,Mujer,2577447
2023-04-01,Varón,2294994
2023-07-01,Mujer,2737085.32
2023-07-01,Varón,2392359.15
2023-10-01,Mujer,3020001
2023-10-01,Varón,2733675
2024-01-01,Mujer,4978411
2024-01-01,Varón,5065511
2024-04-01,Mujer,2013246
2024-04-01,Varón,2051387
